Akun,Tweet,Lokasi
https://twitter.com/trishtayn,@GanjaranApp @ganjarpranowo Jateng bersyukur nih punya gubernur yg cepat tanggap gini 👍🏻👍🏻,
https://twitter.com/trishtayn,"@GanjaranApp @ganjarpranowo Pasti seru nih pelajaran yang dapat kesempatan untuk safari pekerjaan pak Gubernur hehe, semoga banyak manfaat yg dipetik",
https://twitter.com/DoesDeep,@ganjarpranowo @jokowi https://t.co/G4OEmfq1E6,
https://twitter.com/januraendraloka,"@theT4ntryS1 @ganjarpranowo Kepala daerah kan banyak, kenapa rang orang minta photonya sama Pak Ganjar ya ? 😉",
https://twitter.com/Ary_Prasetyo85,"Dari data Dinas Pekerjaan Umum Bina Marga dan Cipta Karya (DPUBMCK) Provinsi Jawa Tengah, sejak 2019 ada total 7349 laporan masuk melalui aplikasi Jalan Cantik.

#sahabatganjar #ganjarpranowo #ganjar https://t.co/phbgrDJWkp",
https://twitter.com/ciputtey,@GanjaranApp @ganjarpranowo Respon pemimpin yang cepat saat ada kendala atau bencana di masyarakat ini sangat dibutuhkan oleh rakyat.,
https://twitter.com/Ary_Prasetyo85,"Aplikasi Jalan Cantik yang diluncurkan Gubernur Jawa Tengah @ganjarpranowo sejak 2019 lalu, terbukti efektif untuk menangani jalan rusak. 

Hingga saat ini sudah ada 3.782 laporan jalan rusak tertangani.

#sahabatganjar #ganjarpranowo #ganjar https://t.co/H7LjOAf3RK",
https://twitter.com/ciputtey,@GanjaranApp @ganjarpranowo Semoga semangat adik adik pelajar ini menjadikan mereka generasi yang berkualitas tinggi nantinya,
https://twitter.com/rismaniq,@GanjaranApp @ganjarpranowo ni bukti usaha pak Ganjar untuk terus melindungi rakyatnya,
https://twitter.com/rismaniq,@GanjaranApp @ganjarpranowo Bagus nih programnya biar gen z juga mulai melek politik 👍🏻👍🏻,
https://twitter.com/spiritcarrie5on,@puanmaharani_ri Benar2 calon presiden idaman. Saya jelas pilih mbak Puan drpd @ganjarpranowo . Rakyat cinta mba puan! Camkan itu wahai @Miduk17 cc @aspemojkt @_BimbingCBN,
https://twitter.com/roeljogja79,@ch_chotimah2 @ganjarpranowo https://t.co/OBR9f6qO8f,
https://twitter.com/sarrmuth,"@GanjaranApp @ganjarpranowo Keren banget respon cepat dari pak Ganjar ini, bener2 pemimpin panutan",
https://twitter.com/dwialkissy,"@LaporGub_ @AriefRohman_838 @iyant_blanz @dpubmckjateng @bpt_pwd @ganjarpranowo Update perkembangan kemacetan di Ngawen yang terjadi sejak kemarin
Kredit: https://t.co/BiRfptyUXl https://t.co/R7lpXhwFTW","Place(id='814c1511f33fbf26', fullName='Kunduran, Indonesia', name='Kunduran', type='city', country='Indonesia', countryCode='ID')"
https://twitter.com/Candra02947969,@NephiLaxmus @ganjarpranowo Pokoe tol e sing apik...,
